dataset,case,edits,words,wer,delta_edits_vs_baseline,rel_reduction_vs_baseline,wall_sec,whisper_total_ms
small_specific_hard_manifest,probe3_wg-0.5_we0.0_wl0.8,42,515,0.08155339805825243,-6,0.125,47.72624111175537,46603.03999999999
small_specific_hard_manifest,probe3_wg-1.5_we0.0_wl0.8,42,515,0.08155339805825243,-6,0.125,48.02861046791077,46896.020000000004
small_specific_hard_manifest,probe3_wg-1.0_we-0.5_wl1.0,42,515,0.08155339805825243,-6,0.125,48.691819190979004,47561.28
small_specific_hard_manifest,probe3_wg-1.0_we-0.8_wl1.0,42,515,0.08155339805825243,-6,0.125,49.77904176712036,48687.810000000005
small_specific_hard_manifest,probe3_wg-1.0_we-0.5_wl0.8,42,515,0.08155339805825243,-6,0.125,49.96602749824524,48832.55
small_specific_hard_manifest,probe3_wg-1.0_we-0.8_wl0.8,42,515,0.08155339805825243,-6,0.125,50.48566150665283,49383.38
small_specific_hard_manifest,probe3_wg-1.0_we-0.5_wl0.5,42,515,0.08155339805825243,-6,0.125,50.91162419319153,49748.38999999999
small_specific_hard_manifest,probe3_wg-1.0_we-0.8_wl1.2,42,515,0.08155339805825243,-6,0.125,51.03147745132446,49943.33
small_specific_hard_manifest,probe3_wg-1.5_we0.0_wl0.3,43,515,0.08349514563106795,-5,0.10416666666666667,46.50457811355591,45444.719999999994
small_specific_hard_manifest,probe3_wg-1.2_we-0.2_wl0.3,43,515,0.08349514563106795,-5,0.10416666666666667,46.56764030456543,45506.509999999995
small_specific_hard_manifest,probe3_wg-1.0_we-0.2_wl0.3,43,515,0.08349514563106795,-5,0.10416666666666667,46.69547462463379,45617.7
small_specific_hard_manifest,probe3_wg-0.5_we-0.2_wl0.3,43,515,0.08349514563106795,-5,0.10416666666666667,46.822322607040405,45714.780000000006
small_specific_hard_manifest,probe3_wg-1.2_we0.0_wl0.3,43,515,0.08349514563106795,-5,0.10416666666666667,46.93104338645935,45813.74
small_specific_hard_manifest,probe3_wg-0.8_we-0.2_wl0.3,43,515,0.08349514563106795,-5,0.10416666666666667,46.98262357711792,45904.89
small_specific_hard_manifest,probe3_wg-1.5_we-0.2_wl0.3,43,515,0.08349514563106795,-5,0.10416666666666667,47.00513744354248,45925.18
small_specific_hard_manifest,probe3_wg-1.0_we0.0_wl0.3,43,515,0.08349514563106795,-5,0.10416666666666667,47.17661142349243,46085.52
small_specific_hard_manifest,probe3_wg-0.8_we0.0_wl0.3,43,515,0.08349514563106795,-5,0.10416666666666667,47.24787735939026,46167.38
small_specific_hard_manifest,probe3_wg-0.5_we0.0_wl0.3,43,515,0.08349514563106795,-5,0.10416666666666667,47.26456904411316,46179.31
small_specific_hard_manifest,probe3_wg-1.2_we0.2_wl1.2,44,515,0.0854368932038835,-4,0.08333333333333333,46.578489542007446,45510.86
small_specific_hard_manifest,probe3_wg-0.8_we0.2_wl1.2,44,515,0.0854368932038835,-4,0.08333333333333333,46.75381064414978,45698.259999999995
small_specific_hard_manifest,probe3_wg-0.5_we0.2_wl1.0,44,515,0.0854368932038835,-4,0.08333333333333333,46.76319241523743,45710.97
small_specific_hard_manifest,probe3_wg-0.5_we0.2_wl1.2,44,515,0.0854368932038835,-4,0.08333333333333333,46.78753662109375,45723.840000000004
small_specific_hard_manifest,probe3_wg-0.5_we0.0_wl1.2,44,515,0.0854368932038835,-4,0.08333333333333333,46.82172417640686,45748.119999999995
small_specific_hard_manifest,probe3_wg-1.0_we0.2_wl1.0,44,515,0.0854368932038835,-4,0.08333333333333333,47.02704215049744,45974.490000000005
small_specific_hard_manifest,probe3_wg-0.8_we0.0_wl1.2,44,515,0.0854368932038835,-4,0.08333333333333333,47.037299394607544,45949.78
small_specific_hard_manifest,probe3_wg-0.8_we0.2_wl1.0,44,515,0.0854368932038835,-4,0.08333333333333333,47.0498583316803,45957.090000000004
small_specific_hard_manifest,probe3_wg-1.0_we0.0_wl1.2,44,515,0.0854368932038835,-4,0.08333333333333333,47.08683633804321,45979.33
small_specific_hard_manifest,probe3_wg-1.5_we0.0_wl1.2,44,515,0.0854368932038835,-4,0.08333333333333333,47.106948137283325,46003.84
small_specific_hard_manifest,probe3_wg-1.5_we0.2_wl1.0,44,515,0.0854368932038835,-4,0.08333333333333333,47.109822273254395,45961.18
small_specific_hard_manifest,probe3_wg-1.2_we0.2_wl1.0,44,515,0.0854368932038835,-4,0.08333333333333333,47.11486029624939,46041.38
small_specific_hard_manifest,probe3_wg-1.5_we0.2_wl1.2,44,515,0.0854368932038835,-4,0.08333333333333333,47.1385293006897,46023.65
small_specific_hard_manifest,probe3_wg-1.0_we0.2_wl1.2,44,515,0.0854368932038835,-4,0.08333333333333333,47.232133865356445,46135.71
small_specific_hard_manifest,probe3_wg-1.2_we0.0_wl1.2,44,515,0.0854368932038835,-4,0.08333333333333333,47.67215061187744,46519.75
small_specific_hard_manifest,probe3_wg-1.2_we-0.8_wl0.5,45,515,0.08737864077669903,-3,0.0625,46.5876886844635,45532.75
