case,edits,words,wer,delta_edits_vs_baseline,rel_reduction_vs_baseline,wall_sec,whisper_total_ms
probe3_wg-0.8_we-0.8_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,292.5579717159271,283827.76999999996
probe3_wg-1.5_we0.2_wl0.3,36,540,0.06666666666666667,-6,0.14285714285714285,292.9147107601166,282885.26
probe3_wg-1.2_we0.2_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,293.22458243370056,282923.2
probe3_wg-0.8_we-0.8_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,293.75198769569397,286730.05999999994
probe3_wg-1.2_we-0.5_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,296.0432937145233,287707.28
probe3_wg-1.5_we0.0_wl0.3,36,540,0.06666666666666667,-6,0.14285714285714285,296.4525318145752,286761.04000000004
probe3_wg-1.2_we-0.2_wl0.3,36,540,0.06666666666666667,-6,0.14285714285714285,296.6842396259308,287969.80999999994
probe3_wg-1.5_we0.2_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,297.280385017395,287722.11
probe3_wg-1.2_we-0.8_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,299.1260178089142,288068.52
probe3_wg-1.2_we0.2_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,300.70108556747437,293422.05
probe3_wg-1.2_we0.0_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,309.0547788143158,298669.51
probe3_wg-1.0_we-0.8_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,310.80172777175903,298733.74999999994
probe3_wg-1.2_we0.0_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,310.9048764705658,300536.1
probe3_wg-1.5_we0.0_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,311.1652660369873,301325.45000000007
probe3_wg-1.2_we0.0_wl0.3,36,540,0.06666666666666667,-6,0.14285714285714285,312.65802216529846,303917.16000000003
probe3_wg-1.2_we0.2_wl0.3,36,540,0.06666666666666667,-6,0.14285714285714285,314.07207679748535,305219.32
probe3_wg-1.5_we0.2_wl0.8,36,540,0.06666666666666667,-6,0.14285714285714285,319.38500595092773,308806.63
probe3_wg-1.5_we0.0_wl1.2,36,540,0.06666666666666667,-6,0.14285714285714285,332.15228033065796,323982.79
probe3_wg-1.5_we-0.8_wl0.3,40,540,0.07407407407407407,-2,0.047619047619047616,261.6739499568939,252982.37
probe3_wg-0.5_we-0.8_wl0.3,40,540,0.07407407407407407,-2,0.047619047619047616,269.85697650909424,261635.27000000002
probe3_wg-0.8_we-0.5_wl0.3,40,540,0.07407407407407407,-2,0.047619047619047616,273.11309814453125,264991.5
probe3_wg-0.8_we-0.8_wl0.3,40,540,0.07407407407407407,-2,0.047619047619047616,278.8865463733673,272044.95
probe3_wg-1.0_we-0.8_wl0.3,40,540,0.07407407407407407,-2,0.047619047619047616,281.9011459350586,273094.3
probe3_wg-0.5_we-0.5_wl0.3,40,540,0.07407407407407407,-2,0.047619047619047616,287.7605793476105,280401.27
probe3_wg-1.5_we-0.5_wl0.3,40,540,0.07407407407407407,-2,0.047619047619047616,288.3720645904541,278509.06
probe3_wg-1.0_we-0.5_wl0.3,40,540,0.07407407407407407,-2,0.047619047619047616,291.7472302913666,283231.62
probe3_wg-1.2_we-0.8_wl0.3,40,540,0.07407407407407407,-2,0.047619047619047616,299.9537091255188,290921.94
probe3_wg-1.2_we-0.5_wl0.3,40,540,0.07407407407407407,-2,0.047619047619047616,306.29494762420654,296833.38
baseline,42,540,0.07777777777777778,0,0.0,264.464684009552,257642.25999999998
